network_id,dex_id,network_name,dex_name,factory,router
3,46,polygon,dinoswap,0x624Ccf581371F8A4493e6AbDE46412002555A1b6,0x6AC823102CB347e1f5925C634B80a98A3aee7E03
3,47,polygon,nachofinance,0x1B44bf43111A26206F9735319A0c438dd1c030b2,0x4237a813604bD6815430d55141EA2C24D4543e44
3,48,polygon,polyzap,0x34De5ce6c9a395dB5710119419A7a29baa435C88,0x4aAEC1FA8247F85Dc3Df20F4e03FEAFdCB087Ae9
4,11,avalanche,traderjoe,0x9Ad6C38BE94206cA50bb0d90783181662f0Cfa10,0x60aE616a2155Ee3d9A68541Ba4544862310933d4
4,12,avalanche,pangolin,0xefa94DE7a4656D787667C749f7E1223D71E9FD88,0xE54Ca86531e17Ef3616d22Ca28b0D458b6C89106
4,13,avalanche,sushiswap,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506
4,14,avalanche,radioshack,0xefa94DE7a4656D787667C749f7E1223D71E9FD88,0xE54Ca86531e17Ef3616d22Ca28b0D458b6C89106
4,15,avalanche,swapsicle,0x9C60C867cE07a3c403E2598388673C10259EC768,0xC7f372c62238f6a5b79136A9e5D16A2FD7A3f0F5
4,16,avalanche,elkfinance,0x091d35d7F63487909C863001ddCA481c6De47091,0x9E4AAbd2B3E60Ee1322E94307d0776F2c8e6CFbb
4,17,avalanche,onavax,0xE01cF83a89e8C32C0A9f91aCa7BfE554EBEE7141,0x0eb4DF266dA7c7BC1629b52a540cc87C8D95Bf24
4,18,avalanche,hurricaneswap,-,-
4,19,avalanche,lydiafinance,0xe0C1bb6DF4851feEEdc3E14Bd509FEAF428f7655,0xA52aBE4676dbfd04Df42eF7755F01A3c41f28D27
4,20,avalanche,hakuswap,0x2Db46fEB38C57a6621BCa4d97820e1fc1de40f41,0x5F1FdcA239362c5b8A8Ada26a256ac5626CC33E0
4,21,avalanche,apexswap,-,-
4,22,avalanche,yetiswap,0x58C8CD291Fa36130119E6dEb9E520fbb6AcA1c3a,0x262DcFB36766C88E6A7a2953c16F8defc40c378A
4,23,avalanche,thorus,0xa98ea6356A316b44Bf710D5f9b6b4eA0081409Ef,0xb5b2444eDF79b00d40f463f79158D1187a0D0c25
4,24,avalanche,alligator,0xD9362AA8E0405C93299C573036E7FB4ec3bE1240,0x80B8d36f2A85EC557eC1955c373961e2221c7540
4,25,avalanche,partyswap,0x58A08bc28f3E8dab8Fb2773D8f243bC740398b09,0xff164Ede3E7C375E8764E9e3a22D3E35F780EEBC
